,ID,filename,Canonical SMILES,PubChem ID
89,Mol_098,Mol_098.xyz,FS(=O)(=O)C([H])([H])c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12,151506364
90,Mol_099,Mol_099.xyz,[H]Cl.[H]c1nn2c(c1-c1c([H])c([H])c(S(=O)(=O)F)c([H])c1[H])C([H])([H])N([H])C([H])([H])C2([H])[H],167913052
91,Mol_100,Mol_100.xyz,[H]Cl.[H]c1c([H])c(S(=O)(=O)F)c([H])c([H])c1-n1nnc(C([H])([H])C([H])([H])C2([H])N([H])C([H])([H])C([H])([H])C2([H])[H])c1[H],167906383
92,Mol_101,Mol_101.xyz,FS(=O)(=O)c1c([H])c([H])c(-n2nnc(C([H])([H])N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c2[H])c([H])c1[H],167980332
93,Mol_102,Mol_102.xyz,[H]Cl.[H]c1c([H])c(S(=O)(=O)F)c([H])c([H])c1-n1nnc(C([H])([H])N([H])C2([H])C([H])([H])C2([H])[H])c1[H],167977022
94,Mol_103,Mol_103.xyz,[H]Cl.[H]c1c([H])c(-n2nnc(C([H])([H])N([H])C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c2[H])c([H])c(S(=O)(=O)F)c1[H],167865228
95,Mol_104,Mol_104.xyz,FS(=O)(=O)c1sc(C([H])([H])C([H])([H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],166000734
96,Mol_105,Mol_105.xyz,FS(=O)(=O)c1c2c([H])c(Br)c([H])c([H])c2nn1C([H])([H])[H],166432675
97,Mol_106,Mol_106.xyz,FS(=O)(=O)c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C([H])(C(=O)O[H])O2,167727752
98,Mol_107,Mol_107.xyz,FS(=O)(=O)c1c([H])nc(Cl)c(OC([H])([H])[H])c1[H],165460558
99,Mol_108,Mol_108.xyz,FS(=O)(=O)c1c([H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])c2nc(-c3c([H])c([H])c([H])c([H])c3[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])o2)n([H])c1[H],167903704
100,Mol_128,Mol_128.xyz,FS(=O)(=O)c1c([H])c([H])c(N([H])C(=O)c2nnn(C([H])([H])C(=O)N([H])[H])c2[H])c([H])c1[H],167951134
101,Mol_131,Mol_131.xyz,FS(=O)(=O)C1([H])c2c([H])c([H])c(Br)c([H])c2OC([H])([H])C1([H])[H],167721634
102,Mol_132,Mol_132.xyz,FS(=O)(=O)C([H])(c1c([H])c([H])c([H])c(Br)c1[H])C([H])([H])[H],165745904
103,Mol_133,Mol_133.xyz,FS(=O)(=O)c1sc(C(=O)O[H])c([H])c1[H],165459078
104,Mol_138,Mol_138.xyz,FS(=O)(=O)C(c1c([H])c([H])c([H])c([H])c1[H])(C([H])([H])[H])C([H])([H])[H],165622309
105,Mol_139,Mol_139.xyz,[H]Cl.[H]c1c([H])c(N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c(S(=O)(=O)F)c1[H],166000810
106,Mol_141,Mol_141.xyz,FS(=O)(=O)c1c([H])nc(O[H])c(Br)c1[H],166000288
107,Mol_142,Mol_142.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C(=O)C1([H])C([H])([H])C1([H])[H],166000993
108,Mol_145,Mol_145.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c2c(Cl)c([H])c([H])nc12,165840424
109,Mol_148,Mol_148.xyz,FS(=O)(=O)c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],167727767
110,Mol_152,Mol_152.xyz,FS(=O)(=O)c1sc(C([H])([H])N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],165993972
111,Mol_153,Mol_153.xyz,FS(=O)(=O)C1([H])c2c([H])c(Br)c([H])c([H])c2OC([H])([H])C1([H])[H],165869313
112,Mol_154,Mol_154.xyz,FS(=O)(=O)c1c([H])c([H])c(Oc2c([H])c([H])c(C(=O)O[H])c([H])c2[H])c([H])c1[H],166000015
113,Mol_156,Mol_156.xyz,FS(=O)(=O)c1c([H])n([H])c2c([H])c(Br)c([H])c([H])c12,165839955
114,Mol_157,Mol_157.xyz,FS(=O)(=O)[C@]1([H])C([H])([H])[C@@]2([H])N(C([H])([H])[H])C(=O)C([H])=C([H])[C@]21[H],165993533
115,Mol_158,Mol_158.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(OC([H])([H])[H])c1N([H])[H],165675767
116,Mol_159,Mol_159.xyz,FS(=O)(=O)c1c(Cl)oc(C(=O)O[H])c1[H],165921811
117,Mol_160,Mol_160.xyz,FS(=O)(=O)c1c(C([H])([H])[H])c([H])nn1C([H])([H])OC([H])([H])[H],165891002
118,Mol_163,Mol_163.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(Br)c1N([H])[H],165948479
119,Mol_164,Mol_164.xyz,FS(=O)(=O)c1c([H])c([H])c(Oc2c([H])c([H])c([H])c(C(=O)O[H])c2[H])c([H])c1[H],165948743
120,Mol_165,Mol_165.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(Br)c1[N+](=O)[O-],165900090
121,Mol_166,Mol_166.xyz,FS(=O)(=O)c1sc([H])c(C(=O)O[H])c1[H],165461246
122,Mol_168,Mol_168.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(OC([H])([H])[H])c1[N+](=O)[O-],165654083
123,Mol_169,Mol_169.xyz,[H]Cl.[H]N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(S(=O)(=O)F)C1([H])[H],165819838
124,Mol_171,Mol_171.xyz,FS(=O)(=O)C([H])([H])C12C([H])([H])C([H])([H])C([H])(C([H])([H])C1([H])[H])C([H])([H])C2([H])[H],165453304
125,Mol_174,Mol_174.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H],165878979
126,Mol_175,Mol_175.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C1([N+](=O)[O-])C([H])([H])C([H])([H])C1([H])[H],165802528
127,Mol_176,Mol_176.xyz,FS(=O)(=O)c1c([H])c(C(=O)O[H])c([H])c([H])c1N([H])[H],165512633
128,Mol_177,Mol_177.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)O[H])c([H])c1N([H])[H],165562969
129,Mol_178,Mol_178.xyz,[H]Cl.[H]N1C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])S(=O)(=O)F,165750927
130,Mol_179,Mol_179.xyz,FS(=O)(=O)c1c([H])c([H])c(N([H])[H])c2c([H])c([H])c([H])c([H])c12,87067450
131,Mol_180,Mol_180.xyz,FS(=O)(=O)c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H],188246
132,Mol_181,Mol_181.xyz,FS(=O)(=O)C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],165505831
133,Mol_182,Mol_182.xyz,FS(=O)(=O)C([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])[H],165518114
134,Mol_183,Mol_183.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)O[H])c([H])c1[N+](=O)[O-],165460461
135,Mol_184,Mol_184.xyz,FS(=O)(=O)c1c(Br)nn(C([H])([H])[H])c1C([H])([H])[H],165605146
136,Mol_185,Mol_185.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(C([H])(SC2=NC([H])([H])C([H])([H])S2)C([H])([H])[H])c1[H],166431206
137,Mol_186,Mol_186.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C([H])([H])OC(=O)N([H])C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],166431201
138,Mol_188,Mol_188.xyz,FS(=O)(=O)C([H])([H])C([H])([H])C([H])([H])OC(=O)N([H])C([H])([H])c1sc([H])nc1C([H])([H])[H],166431199
139,Mol_190,Mol_190.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(N([H])S(=O)(=O)c2c([H])c(C(=O)O[H])n([H])c2[H])c1[H],166404691
140,Mol_194,Mol_194.xyz,FS(=O)(=O)C([H])([H])c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])O2,165501856
141,Mol_195,Mol_195.xyz,FS(=O)(=O)C1([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],165459281
142,Mol_196,Mol_196.xyz,FS(=O)(=O)C1([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C([H])([H])C1([H])[H],165607452
143,Mol_199,Mol_199.xyz,FS(=O)(=O)c1c([H])c(Br)c(O[H])c(Br)c1[H],165868757
144,Mol_200,Mol_200.xyz,FS(=O)(=O)c1c([H])sc(S(=O)(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])C2([H])[H])c1[H],167748363
145,Mol_202,Mol_202.xyz,FS(=O)(=O)c1nc(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H],165761161
146,Mol_204,Mol_204.xyz,FS(=O)(=O)C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c2c1OC([H])([H])C2([H])[H],165665704
147,Mol_205,Mol_205.xyz,FS(=O)(=O)c1c([H])nc(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],165988703
148,Mol_206,Mol_206.xyz,FS(=O)(=O)c1c([H])c(C(=O)O[H])c(OC([H])([H])[H])c([H])c1C([H])([H])[H],165759874
149,Mol_207,Mol_207.xyz,FS(=O)(=O)C([H])([H])C([H])([H])Oc1c([H])c([H])c2c(c1[H])OC([H])([H])C2([H])[H],165495452
150,Mol_208,Mol_208.xyz,FS(=O)(=O)c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],82291555
151,Mol_209,Mol_209.xyz,FS(=O)(=O)C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H],165870133
152,Mol_210,Mol_210.xyz,C1=C(C=C(C=C1OCCS(=O)(=O)F)Cl)C#N,165665703
153,Mol_211,Mol_211.xyz,FS(=O)(=O)c1oc(C(=O)O[H])c([H])c1[H],165870651
